linha;patrimonio;nome;motivo
1041;197;PC;Campos obrigatórios vazios: Responsável
1042;201;PC;Campos obrigatórios vazios: Responsável
1043;205;PC;Campos obrigatórios vazios: Marca, Responsável
1044;208;SWITCH;Campos obrigatórios vazios: Marca, Responsável
1045;211;NOTEBOOK;Campos obrigatórios vazios: Responsável
1046;215;MONITOR;Campos obrigatórios vazios: Marca, Responsável
1047;221;MONITOR;Campos obrigatórios vazios: Marca, Responsável
1048;230;PC;Campos obrigatórios vazios: Marca, Responsável
1049;262;MONITOR;Campos obrigatórios vazios: Marca, Responsável
1050;263;IMPRESSORA;Campos obrigatórios vazios: Responsável
1051;281;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
1052;283;PC;Campos obrigatórios vazios: Responsável
1053;450;PC;Campos obrigatórios vazios: Responsável
1054;451;MONITOR;Campos obrigatórios vazios: Marca, Responsável
1055;452;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
1056;593;PC;Campos obrigatórios vazios: Marca, Responsável
